site_id,mmwr_week,time,year,day_num,amblyomma_americanum,mean_temp,min_temp,max_temp,mean_var_temp,mean_rh_pct,min_rh_pct,max_rh_pct,mean_var_rh,sum_precip_mm,precip_type
BLAN,16,2015-04-19,2015,109,0,11.528377777777777,3.5672,23.1582,7.916666666666666e-4,NA,NA,NA,NA,32.794,SECPRE
BLAN,19,2015-05-10,2015,130,9.8159509202454,19.684440000000002,12.7975,25.5137,0.0019,NA,NA,NA,NA,2.6879999999999997,SECPRE
BLAN,22,2015-05-31,2015,151,10,17.758375,15.4395,21.8789,0.0021249999999999976,NA,NA,NA,NA,49.998,SECPRE
BLAN,23,2015-06-07,2015,158,19.39393939393939,21.184825,12.02,27.9713,6.333333333333333e-4,NA,NA,NA,NA,9.138,SECPRE
BLAN,25,2015-06-21,2015,172,3.1372549019607843,23.326358333333335,18.8042,28.6416,0.0018333333333333333,NA,NA,NA,NA,2.688,SECPRE
BLAN,28,2015-07-12,2015,193,3.6613272311212817,20.352183333333333,17.8566,26.9899,0.0011333333333333334,NA,NA,NA,NA,0,SECPRE
BLAN,31,2015-08-02,2015,214,0,20.668575,16.095,28.4717,7e-4,NA,NA,NA,NA,12.365,SECPRE
BLAN,34,2015-08-23,2015,235,0,20.698915,12.9605,27.8892,3.35e-4,NA,NA,NA,NA,0,SECPRE
BLAN,37,2015-09-13,2015,256,0,18.22000486111111,8.0263,27.7123,0.04973159722222222,NA,NA,NA,NA,0,SECPRE
BLAN,41,2015-10-11,2015,284,0,11.322761607142857,1.5973,23.738,0.11593005952380953,NA,NA,NA,NA,0.538,SECPRE
BLAN,46,2015-11-15,2015,319,0,4.421094916666666,-3.2007,19.2196,0.09464983333333334,66.89517708333334,16.01,101.79,5.619537660256411,0,SECPRE
BLAN,49,2015-12-06,2015,340,0,4.60681,-4.8051,17.055,1.1e-4,82.26809523809524,39.02,99.24,3.006279761904762,0,SECPRE
BLAN,11,2016-03-13,2016,73,0,9.0454125,1.6008,16.3216,1.25e-5,NA,NA,NA,NA,0,SECPRE
BLAN,17,2016-04-24,2016,115,4.819277108433735,17.540108333333333,5.0254,26.1303,0,83.11280395136778,20.81,102,4.124075481256333,0,SECPRE
BLAN,20,2016-05-15,2016,136,9.876543209876544,11.7575,10.2791,13.5019,0,NA,NA,NA,NA,0,SECPRE
BLAN,23,2016-06-05,2016,157,41.02564102564102,22.053454166666665,15.2265,31.1515,1.25e-5,NA,NA,NA,NA,0,SECPRE
BLAN,26,2016-06-26,2016,178,17.057569296375267,19.30095,17.371,21.2365,0,NA,NA,NA,NA,0,SECPRE
BLAN,29,2016-07-17,2016,199,0,22.37125,21.7985,22.9403,0,NA,NA,NA,NA,0,SECPRE
BLAN,32,2016-08-07,2016,220,0,18.971800000000002,16.6417,24.3265,0,NA,NA,NA,NA,0,SECPRE
BLAN,35,2016-08-28,2016,241,3.319502074688797,NA,NA,NA,NA,NA,NA,NA,NA,0,SECPRE
BLAN,38,2016-09-18,2016,262,4.86322188449848,23.894750000000002,18.619,28.4297,0,NA,NA,NA,NA,0,SECPRE
BLAN,41,2016-10-09,2016,283,0,9.4838,3.142,17.6698,0,NA,NA,NA,NA,0,SECPRE
BLAN,13,2017-03-26,2017,85,0,11.362058333333334,6.8159,21.2522,7.1428571428571436e-6,81.27859036796536,30.8,100.11,2.5958766233766233,27.994,SECPRE
